0,先月,せんげつ,last month
1,消える,きえる,"to go out, to vanish"
2,女,おんな,"woman, girl, daughter"
3,晴れ,はれ,clear weather
4,上着,うわぎ,"coat, jacket"
5,御飯,ごはん,"rice (cooked), meal"
6,一人,ひとり,one person
7,来年,らいねん,next year
8,四日,よっか,"(1) 4th day of month, (2) four days"
9,生まれる,うまれる,to be born
10,,ズボン,trousers (fr: jupon)
11,,ナイフ,knife
12,結婚,けっこん（する）,marriage
13,～中,～じゅう,"during, while"
14,,～ころ/～ごろ,"about, approximately (time)"
15,,ドア,door (Western style)
16,話,はなし,"talk, story"
17,頭,あたま,head
18,答える,こたえる,"to answer, to reply"
19,風,かぜ,"wind, breeze"
20,初めて,はじめて,for the first time
21,,よく,"frequently, often"
22,,ボールペン,ball-point pen
23,昼御飯,ひるごはん,"lunch, midday meal"
24,,いくつ,"how many?, how old?"
25,,ください,(with te-form verb) please do for me
26,吸う,すう,"to smoke, to breathe in, to suck"
27,犬,いぬ,dog
28,晩,ばん,evening
29,家,いえ,"house, family"
30,図書館,としょかん,library
31,,でも,"but, however"
32,疲れる,つかれる,"to get tired, to tire"
33,,トイレ,toilet
34,今晩,こんばん,"tonight, this evening"
35,貼る,はる,"to stick, to paste"
36,角,かど,corner (e.g. desk)
37,黒,くろ,black
38,,あっち,over there
39,着く,つく,"to arrive at, to reach"
40,,いいえ,"no, not at all"
41,勤める,つとめる,"to serve, to work (for)"
42,～日,～にち,"～ day of the month, for ～ days"
43,私,わたくし,"I, myself"
44,,ニュース,news
45,子供,こども,"child, children"
46,紙,かみ,paper
47,母,はは,(one's own) mother
48,灰皿,はいざら,ashtray
49,返す,かえす,to return something
50,～前,～まえ,in front of ～
51,,この,this
52,太い,ふとい,"fat, thick"
53,川/河,かわ,river
54,遊ぶ,あそぶ,"to play, to enjoy oneself"
55,毎月,まいげつ/まいつき,"every month, monthly"
56,四つ,よっつ,four
57,,スプーン,spoon
58,勉強,べんきょう（する）,"study, diligence"
59,,ここ,"here, this place"
60,足,あし,"foot, leg"
61,七,しち,seven
62,～分,～ふん,～minutes
63,町,まち,"town, city"
64,門,もん,gate
65,切る,きる,"to cut, to chop"
66,,そこ,"that place, there"
67,汚い,きたない,"dirty, messy"
68,遅い,おそい,"late, slow"
69,弾く,ひく,"to play (piano, guitar)"
70,毎朝,まいあさ,every morning
71,咲く,さく,to bloom
72,,ほう,way
